20                       |29655.365,5924.062,-14564|0.000,324.293,0.000      |Pos¹g Beliara            |MOBNAME_ADDON_IDOL       
25507                    |-6868.689,-238.958,-12329|0.000,50.015,0.000       |                         |MOBNAME_BENCH            
25509                    |-7669.924,-218.461,-11941|0.000,50.015,0.000       |                         |MOBNAME_BENCH            
25515                    |-1277.301,-178.353,-3657.|0.000,50.015,0.000       |                         |MOBNAME_BENCH            
25517                    |4214.702,873.999,5922.649|0.000,27.500,0.000       |                         |                         
25519                    |4083.061,870.762,5406.928|0.000,27.500,0.000       |                         |                         
25522                    |3750.920,870.762,5221.294|0.000,27.500,0.000       |                         |                         
25540                    |4654.018,750.701,6115.068|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
25546                    |4409.315,747.512,5466.615|0.000,63.899,0.000       |Wiadro wody              |MOBNAME_BUCKET           
25575                    |2833.434,750.555,6695.861|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
25577                    |2613.417,750.555,7108.611|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
25579                    |5761.686,750.555,6636.632|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
25599                    |6007.365,750.996,9204.420|0.000,47.154,0.000       |Kufer                    |MOBNAME_CHEST            
25601                    |2795.803,756.039,7839.550|0.000,152.256,0.000      |Fotel                    |MOBNAME_ARMCHAIR         
25603                    |2404.551,882.039,7990.139|0.000,22.905,0.000       |                         |MOBNAME_BOOKBOARD        
25618                    |12255.428,901.839,3774.45|0.000,93.930,0.000       |£ó¿ko                    |MOBNAME_BED              
25620                    |15114.183,1336.752,-3796.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
25624                    |14285.100,1331.776,-4087.|0.000,93.930,0.000       |£ó¿ko                    |MOBNAME_BED              
25622                    |14891.666,1320.953,-4377.|0.000,93.930,0.000       |£ó¿ko                    |MOBNAME_BED              
25626                    |14489.479,1328.953,-4459.|0.000,215.006,0.000      |£ó¿ko                    |MOBNAME_BED              
25628                    |15000.218,1324.155,-4018.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
25630                    |14429.883,1316.390,-3771.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
25707                    |5705.073,933.482,4669.973|0.000,196.897,0.000      |                         |                         
25709                    |6283.886,933.099,4989.337|0.000,196.897,0.000      |                         |                         
25724                    |9980.133,895.394,-3818.76|0.000,50.016,0.000       |                         |                         
25729                    |9951.969,1023.091,-3493.0|0.000,196.897,0.000      |                         |                         
25735                    |10646.633,901.235,-5659.7|0.000,50.016,0.000       |                         |                         
25737                    |10229.873,898.235,-5457.4|0.000,50.016,0.000       |                         |                         
25751                    |11380.881,897.063,-2440.0|0.000,50.016,0.000       |                         |                         
25754                    |11007.292,893.995,565.311|0.000,50.016,0.000       |                         |                         
25756                    |12432.908,896.102,270.876|0.000,50.016,0.000       |                         |                         
25763                    |11559.287,899.533,3521.91|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
25781                    |2313.814,-184.502,-2684.2|0.000,152.256,0.000      |Fotel                    |MOBNAME_ARMCHAIR         
25788                    |1573.009,-181.623,-2755.5|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
25794                    |12521.838,853.944,3077.14|0.000,135.000,0.000      |                         |MOBNAME_SECRETSWITCH     
25796                    |12928.147,1437.156,-4194.|0.000,27.500,0.000       |                         |MOBNAME_SECRETSWITCH     
25841                    |551.542,-62.820,-1820.163|0.000,125.001,0.000      |Do ulicy kupców          |MOBNAME_INCITY04         
25842                    |6432.000,393.125,3652.579|0.000,125.001,0.000      |Do targowiska            |MOBNAME_INCITY02         
25843                    |7642.399,253.312,-83.049 |0.000,125.001,0.000      |Do placu œwi¹tynnego     |MOBNAME_INCITY05         
25844                    |7758.039,386.124,-4775.96|0.000,125.001,0.000      |Do placu œwi¹tynnego     |MOBNAME_INCITY05         
25845                    |7713.273,387.638,-4782.03|0.000,125.001,0.000      |Do ulicy kupców          |MOBNAME_INCITY04         
25846                    |9738.645,392.162,5108.979|0.000,125.001,0.000      |Do placu œwi¹tynnego     |MOBNAME_INCITY05         
25847                    |9704.467,393.424,5129.863|0.000,125.001,0.000      |Do ulicy kupców          |MOBNAME_INCITY04         
25848                    |2600.076,-57.653,-4351.72|0.000,125.001,0.000      |Do ulicy kupców          |MOBNAME_INCITY04         
25849                    |7776.867,388.305,-4811.81|0.000,125.001,0.000      |Do górnego miasta        |MOBNAME_INCITY03         
25850                    |8855.302,395.571,-2402.96|0.000,125.001,0.000      |Do górnego miasta        |MOBNAME_INCITY03         
25944                    |-5046.290,-186.913,-10619|0.000,62.000,0.000       |                         |                         
25946                    |-6126.924,-212.441,-11405|0.000,68.534,0.000       |                         |                         
25978                    |-3757.243,-452.605,-18935|0.000,42.084,0.000       |                         |                         
25980                    |-4376.727,-470.870,-17361|0.000,83.565,0.000       |                         |                         
25982                    |-4158.208,-443.878,-17211|0.000,62.000,0.000       |                         |                         
25984                    |-3671.823,-463.063,-19196|0.000,69.720,0.000       |                         |                         
26094                    |-8553.845,-205.261,-6034.|0.000,50.736,0.000       |                         |                         
26096                    |-8271.111,-144.137,-6358.|0.000,67.821,0.000       |                         |                         
26117                    |-7848.042,-150.055,-5580.|0.000,50.015,0.000       |                         |                         
26367                    |-2994.797,-405.504,11038.|0.000,62.000,0.000       |                         |                         
26369                    |-2918.516,-406.686,11381.|0.000,62.000,0.000       |                         |                         
26378                    |-3224.330,-422.229,11208.|0.000,85.577,0.000       |Kufer                    |MOBNAME_CHEST            
26380                    |-2841.872,-442.125,12826.|0.000,76.895,0.000       |Kufer                    |MOBNAME_CHEST            
26408                    |-3349.417,-437.498,11783.|0.000,39.845,0.000       |                         |                         
26455                    |-2327.380,-358.822,20525.|0.000,98.659,0.000       |Kufer                    |MOBNAME_CHEST            
26457                    |682.970,-426.341,24026.74|0.000,86.479,0.000       |Kufer                    |MOBNAME_CHEST            
26585                    |2570.125,-642.047,5569.52|0.000,324.293,0.000      |Pos¹g Beliara            |MOBNAME_ADDON_IDOL       
20                       |29655.365,5924.062,-14564|0.000,324.293,0.000      |Pos¹g Beliara            |MOBNAME_ADDON_IDOL       
265                      |26031.037,1039.182,-8893.|0.000,75.001,0.000       |Iotar 721 - 762          |MOBNAME_GRAVE_18         
272                      |34442.094,3652.016,-19768|0.000,47.155,0.000       |Kufer                    |MOBNAME_CHEST            
274                      |33911.715,3649.859,-20389|0.000,47.155,0.000       |Kufer                    |MOBNAME_CHEST            
281                      |29733.906,6030.213,-15047|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
283                      |29708.256,6034.476,-15998|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
285                      |30428.543,6031.790,-15730|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
359                      |29474.736,5278.664,-15933|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
361                      |29307.195,5281.791,-15363|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
375                      |30539.955,5148.629,-15813|0.000,180.000,0.000      |Stó³ runiczny            |MOBNAME_RUNEMAKER        
377                      |30593.355,5150.527,-15496|0.000,131.006,0.000      |Stó³ alchemiczny         |MOBNAME_LAB              
411                      |29817.000,5148.000,-14369|0.000,230.001,0.000      |Kuchnia                  |MOBNAME_STOVE            
413                      |30128.326,5148.463,-14811|0.000,152.256,0.000      |Fotel                    |MOBNAME_ARMCHAIR         
427                      |30703.695,5149.067,-15089|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
773                      |17699.518,3159.393,-21339|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
787                      |17414.346,3166.885,-20818|0.000,102.836,0.000      |£ó¿ko                    |MOBNAME_BED              
919                      |29897.807,4248.067,-14872|0.000,77.983,0.000       |Kufer                    |MOBNAME_CHEST            
1227                     |17897.078,3163.391,-20770|0.000,47.762,0.000       |Kufer                    |MOBNAME_CHEST            
1247                     |24472.273,3109.886,-21075|0.000,47.155,0.000       |Kufer                    |MOBNAME_CHEST            
1306                     |30101.432,6028.541,-16010|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
1308                     |29417.227,6031.176,-15698|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
1311                     |30257.154,5154.084,-14557|0.000,135.000,0.000      |                         |                         
1315                     |29465.301,5893.728,-15319|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
1348                     |21917.537,2900.532,-22751|0.000,125.001,0.000      |Do Khorinis              |MOBNAME_CITY             
1435                     |30045.898,5147.116,-16555|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
1756                     |82110.406,3674.937,29394.|0.000,135.000,0.000      |                         |                         
2000                     |82508.477,3462.952,23365.|0.000,135.000,0.000      |Drzwi                    |MOBNAME_DOOR             
2013                     |83545.617,3488.009,28626.|0.000,152.332,0.000      |                         |MOBNAME_BBQ_SCAV         
2015                     |83071.117,3493.196,28649.|0.000,62.000,0.000       |£ó¿ko                    |MOBNAME_BED              
2017                     |83234.102,3493.196,28919.|0.000,62.000,0.000       |£ó¿ko                    |MOBNAME_BED              
2037                     |83889.203,3493.798,29011.|0.000,180.000,0.000      |Stó³ runiczny            |MOBNAME_RUNEMAKER        
2039                     |84002.047,3495.788,28770.|0.000,131.007,0.000      |Stó³ alchemiczny         |MOBNAME_LAB              
2072                     |74465.469,6678.921,28941.|0.000,77.049,0.000       |Kufer                    |MOBNAME_CHEST            
2640                     |81407.680,5432.512,34724.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
2657                     |79042.312,5475.306,34133.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
2659                     |79082.977,5479.306,34039.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
3189                     |73994.273,5491.545,23710.|0.000,47.154,0.000       |Kufer                    |MOBNAME_CHEST            
3202                     |66055.398,6712.728,46370.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
3563                     |37788.727,5410.367,32117.|0.000,80.470,0.000       |Kufer                    |MOBNAME_CHEST            
3565                     |34849.652,5059.265,31437.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
3714                     |84871.336,5451.599,33451.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
3739                     |70253.664,4359.196,22198.|0.000,312.555,0.000      |Pos¹g Innosa             |MOBNAME_INNOS            
3751                     |59333.137,3143.092,12065.|0.000,312.555,0.000      |Pos¹g Innosa             |MOBNAME_INNOS            
3754                     |59721.395,6836.476,40533.|0.000,314.329,0.000      |Pos¹g Innosa             |MOBNAME_INNOS            
4115                     |57441.000,6946.000,25594.|0.000,250.657,0.000      |Drzwi                    |MOBNAME_DOOR             
4123                     |56935.324,6932.794,25788.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
4178                     |59107.324,6939.804,24047.|0.000,250.000,0.000      |Drzwi                    |MOBNAME_DOOR             
4188                     |60576.730,7086.466,24902.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
4220                     |60720.145,7086.126,24873.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
6108                     |82987.695,3547.792,22025.|0.000,77.050,0.000       |Kufer                    |MOBNAME_CHEST            
6581                     |80785.523,5007.796,26692.|0.000,39.845,0.000       |Patelnia                 |MOBNAME_PAN              
6714                     |80532.703,5004.334,26205.|0.000,62.000,0.000       |£ó¿ko                    |MOBNAME_BED              
6987                     |-10511.752,702.586,-18938|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
6989                     |-9935.792,723.559,-19640.|0.000,152.256,0.000      |                         |MOBNAME_SEAT             
6991                     |-10326.910,723.357,-19592|0.000,215.006,0.000      |£ó¿ko                    |MOBNAME_BED              
6993                     |-9619.590,193.606,-18131.|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
6995                     |-9487.478,192.606,-17918.|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7000                     |-10054.601,193.887,-17817|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7002                     |-10335.054,193.887,-17832|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7004                     |-10520.865,194.887,-17799|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7006                     |-10800.896,198.887,-17820|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7008                     |-10206.895,193.887,-18202|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7010                     |-10517.359,193.887,-18180|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7015                     |-10761.129,194.094,-18241|0.000,230.001,0.000      |Kuchnia                  |MOBNAME_STOVE            
7017                     |-10863.694,195.094,-18102|0.000,80.000,0.000       |Kocio³                   |MOBNAME_CAULDRON         
7019                     |-10323.222,-113.286,-1520|0.000,119.926,0.000      |Ose³ka                   |MOBNAME_GRINDSTONE       
7021                     |-10173.202,-113.471,-1561|0.000,383.460,0.000      |Ogieñ w kuŸni            |MOBNAME_FORGE            
7023                     |-9861.720,-114.991,-15591|0.000,63.899,0.000       |Wiadro wody              |MOBNAME_BUCKET           
7025                     |-9795.077,-113.766,-15165|0.000,88.838,0.000       |Kowad³o                  |MOBNAME_ANVIL            
7027                     |-10180.215,1034.155,-1931|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7029                     |-9649.277,461.935,-12337.|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7031                     |-10235.238,462.074,-12336|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7033                     |-9212.384,-113.716,-13133|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7035                     |-9107.464,-114.179,-15367|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7041                     |-10776.356,390.243,-16898|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7043                     |-9426.024,392.165,-16952.|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7045                     |-10851.700,401.247,-16352|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7047                     |-9287.535,389.637,-16405.|0.000,50.000,0.000       |                         |MOBNAME_BENCH            
7051                     |-9841.165,567.084,-18812.|0.000,250.000,0.000      |                         |                         
7062                     |-9651.209,19.372,-17463.6|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
7064                     |-9473.000,-116.000,-17488|0.000,131.007,0.000      |Stó³ alchemiczny         |MOBNAME_LAB              
7066                     |-9266.130,-114.988,-17456|0.000,180.000,0.000      |Stó³ runiczny            |MOBNAME_RUNEMAKER        
7068                     |-10327.513,186.657,-18967|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
7070                     |-10600.484,187.894,-18956|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
7072                     |-10663.386,191.956,-18474|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
7074                     |-10335.351,191.190,-18484|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
7076                     |-9706.358,190.340,-18990.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
7078                     |-9650.195,184.808,-18514.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
7080                     |-10478.746,723.109,-19432|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
7106                     |37217.355,2937.862,-24672|0.000,52.835,0.000       |Patelnia                 |MOBNAME_PAN              
7141                     |36771.461,3174.908,-26467|0.000,250.000,0.000      |Drzwi                    |MOBNAME_DOOR             
7147                     |36205.918,3333.723,-27186|0.000,125.001,0.000      |Do kolonii wiêziennej    |MOBNAME_PRISON           
7162                     |29298.703,5399.184,-35018|0.000,47.154,0.000       |Kufer                    |MOBNAME_CHEST            
7516                     |36504.191,4680.061,-38162|0.000,47.154,0.000       |Kufer                    |MOBNAME_CHEST            
7534                     |47350.504,4366.997,18261.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
7536                     |47904.629,4368.997,17284.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
7550                     |51327.770,4243.015,19805.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
7552                     |48007.699,4989.755,21736.|0.000,77.469,0.000       |Kufer Igaraza            |MOBNAME_IGARAZ           
7578                     |47481.582,4995.788,21581.|0.000,77.469,0.000       |Kufer                    |MOBNAME_CHEST            
7584                     |48161.168,4990.876,21824.|0.000,152.256,0.000      |                         |MOBNAME_SEAT             
7592                     |48152.473,4995.622,22353.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
7619                     |49510.551,4238.308,18429.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
7621                     |49616.316,4241.308,18210.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
7623                     |49838.602,4238.091,18897.|0.000,250.000,0.000      |Skarbiec                 |MOBNAME_SCHATZKAMMER     
7632                     |49408.688,4992.681,19568.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7630                     |49306.195,4992.681,19739.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7636                     |49059.625,4992.737,20123.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7634                     |48957.133,4992.737,20294.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7640                     |49591.613,4992.925,19679.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7638                     |49489.121,4992.925,19850.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7644                     |49797.582,4990.198,19800.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7642                     |49695.090,4990.198,19971.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7648                     |50006.508,4993.522,19924.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7646                     |49904.016,4993.522,20094.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7652                     |49252.645,4992.337,20240.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7650                     |49150.152,4992.337,20411.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7656                     |49457.266,4988.501,20365.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7654                     |49354.773,4988.501,20536.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7660                     |49670.648,4992.969,20490.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7658                     |49568.156,4992.969,20661.|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
7737                     |46604.676,4988.830,20189.|0.000,250.000,0.000      |Biblioteka               |MOBNAME_BIBLIOTHEK       
7743                     |50521.004,4242.791,18896.|0.000,131.006,0.000      |Stó³ alchemiczny         |MOBNAME_LAB              
7777                     |49948.164,4241.937,17583.|0.000,152.256,0.000      |                         |MOBNAME_SEAT             
7779                     |49751.031,4242.491,17892.|0.000,152.256,0.000      |                         |MOBNAME_SEAT             
7781                     |50749.637,4243.176,18274.|0.000,50.000,0.000       |                         |MOBNAME_CHAIR            
7968                     |47616.477,3475.854,16584.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
8006                     |50172.973,4469.027,22008.|0.000,27.500,0.000       |Lampa                    |MOBNAME_LIBRARYLEVER     
8236                     |51890.273,4989.464,18828.|0.000,215.005,0.000      |£ó¿ko                    |MOBNAME_BED              
8238                     |51276.324,4990.464,19865.|0.000,215.005,0.000      |£ó¿ko                    |MOBNAME_BED              
8240                     |49485.590,4996.365,22865.|0.000,215.005,0.000      |£ó¿ko                    |MOBNAME_BED              
8242                     |50114.637,4996.316,21833.|0.000,215.005,0.000      |£ó¿ko                    |MOBNAME_BED              
8246                     |47699.004,4991.257,21245.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8250                     |48147.781,4992.557,21516.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8248                     |47842.004,4991.972,22041.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8252                     |47392.000,4992.000,21755.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8254                     |46940.113,4992.211,20800.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8256                     |46497.703,4992.371,20527.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8258                     |46639.883,4992.601,21306.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8260                     |46197.531,4991.637,21032.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8262                     |48895.871,4991.238,17563.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8264                     |48442.605,4992.097,17297.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8266                     |48744.961,4991.963,16796.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8268                     |49208.914,4991.191,17050.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8270                     |49651.105,4992.204,18014.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8272                     |50096.277,4991.191,18290.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8274                     |49955.793,4991.547,17503.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8276                     |50402.914,4991.679,17774.|0.000,98.035,0.000       |£ó¿ko                    |MOBNAME_BED              
8278                     |45386.926,4991.657,20528.|0.000,156.899,0.000      |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSTAND        
8280                     |46099.430,4991.171,20717.|0.000,156.899,0.000      |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSTAND        
8282                     |46721.770,5125.023,19671.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8284                     |46271.555,4984.525,19627.|0.000,180.000,0.000      |Stó³ runiczny            |MOBNAME_RUNEMAKER        
8286                     |48032.645,4987.298,16765.|0.000,60.000,0.000       |                         |MOBNAME_WINEMAKER        
8288                     |47394.180,4992.006,17490.|0.000,60.000,0.000       |                         |MOBNAME_WINEMAKER        
8290                     |47741.867,4990.188,17076.|0.000,60.000,0.000       |                         |MOBNAME_WINEMAKER        
8307                     |45753.793,4242.453,19982.|0.000,312.555,0.000      |Pos¹g Innosa             |MOBNAME_INNOS            
8305                     |46963.543,4991.393,21617.|0.000,312.555,0.000      |Pos¹g Innosa             |MOBNAME_INNOS            
8309                     |50942.305,4991.607,18201.|0.000,215.005,0.000      |£ó¿ko                    |MOBNAME_BED              
8311                     |47988.000,4991.000,22128.|0.000,215.005,0.000      |£ó¿ko                    |MOBNAME_BED              
8315                     |47407.555,4241.257,17971.|0.000,131.006,0.000      |Stó³ alchemiczny         |MOBNAME_LAB              
8313                     |47688.141,4242.284,17493.|0.000,131.006,0.000      |                         |MOBNAME_LAB              
8317                     |47149.156,4882.624,18703.|0.000,250.000,0.000      |Drzwi                    |MOBNAME_Door             
8326                     |50728.152,5039.321,20863.|0.000,193.875,0.000      |                         |MOBNAME_THRONE           
8328                     |50794.164,5041.897,21151.|0.000,193.875,0.000      |                         |MOBNAME_THRONE           
8330                     |51007.977,5042.945,20793.|0.000,193.875,0.000      |                         |MOBNAME_THRONE           
8336                     |38683.734,3195.618,2291.1|0.000,312.555,0.000      |Pos¹g Innosa             |MOBNAME_INNOS            
8550                     |47889.152,3456.856,19338.|0.000,309.562,0.000      |Drzwi                    |MOBNAME_DOOR             
8554                     |49453.121,4374.749,22586.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8556                     |50071.273,4375.761,21578.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8558                     |49101.309,4375.673,20999.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8560                     |48482.078,4375.305,22020.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8564                     |48117.406,4241.178,21779.|0.000,131.006,0.000      |                         |MOBNAME_LAB              
8566                     |49546.465,4241.375,21304.|0.000,131.006,0.000      |                         |MOBNAME_LAB              
8570                     |51714.836,3613.743,18577.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8574                     |50166.453,3480.907,18951.|0.000,156.899,0.000      |Almanach                 |MOBNAME_ALMANACH         
8581                     |48112.801,3609.399,16965.|0.000,27.500,0.000       |                         |MOBNAME_LEVER            
8586                     |39458.102,4350.284,10827.|0.000,125.001,0.000      |Do gospody               |MOBNAME_MONASTERY2       
8587                     |39435.227,4350.702,10902.|0.000,125.001,0.000      |Do klasztoru             |MOBNAME_MONASTERY        
8871                     |38361.516,4361.226,9492.8|0.000,50.016,0.000       |                         |MOBNAME_BENCH            
8873                     |50316.172,4235.498,19384.|0.000,250.000,0.000      |Spi¿arnia                |MOBNAME_VORRATSKAMMER    
8875                     |48573.172,4991.566,17041.|0.000,50.000,0.000       |Kufer                    |MOBNAME_CHEST            
8877                     |48923.742,4988.882,16759.|0.000,50.000,0.000       |Kufer                    |MOBNAME_CHEST            
8879                     |49063.902,4990.882,17317.|0.000,50.000,0.000       |Kufer                    |MOBNAME_CHEST            
8883                     |50785.781,4241.588,19111.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
8885                     |46216.488,4992.940,20518.|0.000,156.899,0.000      |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSTAND        
8887                     |45881.328,5124.940,20904.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8889                     |45748.348,5123.940,19690.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8891                     |46075.746,4992.940,19446.|0.000,156.899,0.000      |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSTAND        
8893                     |45475.055,5125.940,20188.|0.000,22.905,0.000       |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSBOARD       
8895                     |45970.430,4992.940,20520.|0.000,156.899,0.000      |Rega³ na ksi¹¿ki         |MOBNAME_BOOKSTAND        
8898                     |50380.184,4978.516,18681.|0.000,250.000,0.000      |                         |                         
8900                     |50790.227,4989.484,18508.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
8902                     |50767.594,4990.851,17976.|0.000,180.000,0.000      |Stó³ runiczny            |MOBNAME_RUNEMAKER        
8904                     |50400.652,4991.851,18117.|0.000,131.006,0.000      |Stó³ alchemiczny         |MOBNAME_LAB              
9007                     |49369.098,4998.205,21430.|0.000,215.005,0.000      |£ó¿ko                    |MOBNAME_BED              
9009                     |49458.469,4992.686,23078.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
9011                     |50262.594,4992.913,21728.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
9013                     |49417.789,4991.992,21210.|0.000,77.658,0.000       |Kufer                    |MOBNAME_CHEST            
9017                     |49642.941,4992.390,22519.|0.000,56.609,0.000       |                         |MOBNAME_CHAIR            
9019                     |49493.148,4993.746,22384.|0.000,56.609,0.000       |                         |MOBNAME_CHAIR            
9021                     |49889.176,4994.568,22168.|0.000,56.609,0.000       |                         |MOBNAME_CHAIR            
9023                     |49694.914,4993.619,22039.|0.000,56.609,0.000       |                         |MOBNAME_CHAIR            
9041                     |49227.203,4993.121,22071.|0.000,152.256,0.000      |                         |MOBNAME_SEAT             
9043                     |49075.902,4992.847,22313.|0.000,152.256,0.000      |                         |MOBNAME_SEAT             
